week,rows,stationary_rmse,velocity_rmse,ball_025_rmse
1,32088,4.1454,2.7141,2.1324
2,32180,4.2511,1.5419,1.2037
3,36080,4.2445,1.6708,1.3025
4,30147,4.0415,1.4939,1.2209
5,29319,3.9852,1.5214,1.2283
6,31162,4.2172,1.5445,1.2783
7,27443,3.9916,1.5503,1.2326
8,33017,4.0996,1.6121,1.2676
9,28291,4.3833,1.608,1.3159
10,29008,4.2509,1.5955,1.2821
11,27623,4.3218,1.6224,1.3042
12,32156,4.0113,1.498,1.2377
13,29568,4.7775,1.6945,1.2931
14,32873,4.5437,1.6438,1.3158
15,32715,4.3444,1.6725,1.3284
16,36508,4.0817,1.928,1.4899
17,33076,4.3359,1.6498,1.3175
18,29682,4.2977,1.6404,1.2788
ALL,562936,4.2437,1.7056,1.3543
